state,rep2012,dem2012,rep2008,dem2008
Alabama,61,38,61,39
Alaska,55,41,60,38
Arizona,54,44,54,45
Arkansas,61,37,59,39
California,38,59,37,61
Colorado,47,51,45,54
Connecticut,40,58,38,61
Delaware,40,59,37,62
Florida,49,50,48,51
Georgia,53,45,52,47
Hawaii,28,71,27,72
Idaho,65,33,61,36
Illinois,41,57,37,62
Indiana,54,44,49,50
Iowa,46,52,45,54
Kansas,60,38,57,42
Kentucky,61,38,58,41
Louisiana,58,41,59,40
Maine,41,56,40,58
Maryland,37,62,37,62
Massachusetts,38,61,36,62
Michigan,45,54,41,57
Minnesota,45,53,44,54
Mississippi,56,44,56,43
Missouri,54,44,50,49
Montana,55,42,50,47
Nebraska,61,38,57,42
Nevada,46,52,43,55
New Hampshire,46,52,45,54
New Jersey,41,58,42,57
New Mexico,43,53,42,57
New York,36,63,36,63
North Carolina,51,48,49,50
North Dakota,59,39,53,45
Ohio,48,50,47,52
Oklahoma,67,33,66,34
Oregon,43,54,41,57
Pennsylvania,47,52,44,55
Rhode Island,36,63,35,63
South Carolina,55,44,54,45
South Dakota,58,40,53,45
Tennessee,59,39,57,42
Texas,57,41,55,44
Utah,73,25,63,34
Vermont,31,67,31,68
Virginia,48,51,47,53
Washington,42,56,41,58
West Virginia,2,36,56,43
Wisconsin,46,53,43,56
Wyoming,69,28,65,33
